threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
0.9032008647918701,0.391304347826087,0.896551724137931,0.27956989247311825,0.8636363636363636,0.4262295081967213,26,19,3,67,normal_p90_0
0.925922691822052,0.3739130434782609,0.92,0.24731182795698925,0.9090909090909091,0.38983050847457623,23,20,2,70,normal_p95_0
0.9356728792190552,0.33043478260869563,0.9444444444444444,0.1827956989247312,0.9545454545454546,0.30630630630630634,17,21,1,76,normal_p97_5
0.9413636922836304,0.30434782608695654,0.9333333333333333,0.15053763440860216,0.9545454545454546,0.25925925925925924,14,21,1,79,normal_p99_0
0.9432606101036072,0.30434782608695654,0.9333333333333333,0.15053763440860216,0.9545454545454546,0.25925925925925924,14,21,1,79,normal_p99_5
