threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
0.01822209171950817,0.6,0.5,0.15,0.9,0.23076923076923075,6,54,6,34,normal_p90_0
0.018639054149389267,0.62,0.625,0.125,0.95,0.20833333333333334,5,57,3,35,normal_p95_0
0.019393576309084892,0.62,0.6666666666666666,0.1,0.9666666666666667,0.1739130434782609,4,58,2,36,normal_p97_5
0.020117664709687233,0.63,0.8,0.1,0.9833333333333333,0.1777777777777778,4,59,1,36,normal_p99_0
0.020480426028370857,0.63,0.8,0.1,0.9833333333333333,0.1777777777777778,4,59,1,36,normal_p99_5
