threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.4369339644908905,0.7590361445783133,0.7590361445783133,1.0,0.0,0.863013698630137,63,0,20,0
0.4472932815551758,0.7710843373493976,0.7682926829268293,1.0,0.05,0.8689655172413793,63,1,19,0
0.4522619247436523,0.7831325301204819,0.7777777777777778,1.0,0.1,0.875,63,2,18,0
0.4570257663726806,0.7951807228915663,0.7875,1.0,0.15,0.8811188811188811,63,3,17,0
0.4716202914714813,0.8072289156626506,0.7974683544303798,1.0,0.2,0.8873239436619719,63,4,16,0
0.4727912843227386,0.8192771084337349,0.8076923076923077,1.0,0.25,0.8936170212765957,63,5,15,0
0.4749886095523834,0.8313253012048193,0.8181818181818182,1.0,0.3,0.9,63,6,14,0
0.4879371225833893,0.8433734939759037,0.8289473684210527,1.0,0.35,0.9064748201438849,63,7,13,0
0.4896388053894043,0.8554216867469879,0.84,1.0,0.4,0.9130434782608695,63,8,12,0
0.5173164010047913,0.8674698795180723,0.8513513513513513,1.0,0.45,0.9197080291970803,63,9,11,0
0.5204905271530151,0.8795180722891566,0.863013698630137,1.0,0.5,0.9264705882352942,63,10,10,0
0.521430253982544,0.891566265060241,0.875,1.0,0.55,0.9333333333333333,63,11,9,0
0.5273302793502808,0.9036144578313253,0.8873239436619719,1.0,0.6,0.9402985074626866,63,12,8,0
0.5490984916687012,0.9156626506024096,0.9,1.0,0.65,0.9473684210526315,63,13,7,0
0.5499996542930603,0.927710843373494,0.9130434782608695,1.0,0.7,0.9545454545454546,63,14,6,0
0.5748523473739624,0.9397590361445783,0.9264705882352942,1.0,0.75,0.9618320610687023,63,15,5,0
0.575439989566803,0.9518072289156626,0.9402985074626866,1.0,0.8,0.9692307692307692,63,16,4,0
0.5840014815330505,0.963855421686747,0.9545454545454546,1.0,0.85,0.9767441860465116,63,17,3,0
0.5956820845603943,0.9759036144578314,0.9692307692307692,1.0,0.9,0.984375,63,18,2,0
0.5960012078285217,0.9879518072289156,0.984375,1.0,0.95,0.9921259842519685,63,19,1,0
0.6719725131988525,1.0,1.0,1.0,1.0,1.0,63,20,0,0
0.6911405324935913,0.9879518072289156,1.0,0.9841269841269841,1.0,0.992,62,20,0,1
0.6955626606941223,0.9759036144578314,1.0,0.9682539682539683,1.0,0.9838709677419355,61,20,0,2
0.7163624167442322,0.963855421686747,1.0,0.9523809523809523,1.0,0.975609756097561,60,20,0,3
0.7299818992614746,0.9518072289156626,1.0,0.9365079365079365,1.0,0.9672131147540983,59,20,0,4
0.7578518986701965,0.9397590361445783,1.0,0.9206349206349206,1.0,0.9586776859504132,58,20,0,5
0.7591549754142761,0.927710843373494,1.0,0.9047619047619048,1.0,0.95,57,20,0,6
0.8012639284133911,0.9156626506024096,1.0,0.8888888888888888,1.0,0.9411764705882353,56,20,0,7
0.8171734809875488,0.9036144578313253,1.0,0.873015873015873,1.0,0.9322033898305084,55,20,0,8
0.8334630727767944,0.891566265060241,1.0,0.8571428571428571,1.0,0.9230769230769231,54,20,0,9
0.8420647978782654,0.8795180722891566,1.0,0.8412698412698413,1.0,0.9137931034482759,53,20,0,10
0.8431865572929382,0.8674698795180723,1.0,0.8253968253968254,1.0,0.9043478260869565,52,20,0,11
0.8439893126487732,0.8554216867469879,1.0,0.8095238095238095,1.0,0.8947368421052632,51,20,0,12
0.8496274948120117,0.8433734939759037,1.0,0.7936507936507936,1.0,0.8849557522123894,50,20,0,13
0.8544129133224487,0.8313253012048193,1.0,0.7777777777777778,1.0,0.875,49,20,0,14
0.8724140524864197,0.8192771084337349,1.0,0.7619047619047619,1.0,0.8648648648648649,48,20,0,15
0.8788918256759644,0.8072289156626506,1.0,0.746031746031746,1.0,0.8545454545454545,47,20,0,16
0.8792984485626221,0.7951807228915663,1.0,0.7301587301587301,1.0,0.8440366972477065,46,20,0,17
0.8862518668174744,0.7831325301204819,1.0,0.7142857142857143,1.0,0.8333333333333334,45,20,0,18
0.8910289406776428,0.7710843373493976,1.0,0.6984126984126984,1.0,0.822429906542056,44,20,0,19
0.894199550151825,0.7590361445783133,1.0,0.6825396825396826,1.0,0.8113207547169812,43,20,0,20
0.895004153251648,0.7469879518072289,1.0,0.6666666666666666,1.0,0.8,42,20,0,21
0.9018698334693908,0.7349397590361446,1.0,0.6507936507936508,1.0,0.7884615384615384,41,20,0,22
0.901928722858429,0.7228915662650602,1.0,0.6349206349206349,1.0,0.7766990291262136,40,20,0,23
0.9049893021583556,0.7108433734939759,1.0,0.6190476190476191,1.0,0.7647058823529411,39,20,0,24
0.9112759828567504,0.6987951807228916,1.0,0.6031746031746031,1.0,0.7524752475247525,38,20,0,25
0.9162287712097168,0.6867469879518072,1.0,0.5873015873015873,1.0,0.74,37,20,0,26
0.9207363724708556,0.6746987951807228,1.0,0.5714285714285714,1.0,0.7272727272727273,36,20,0,27
0.9243062734603882,0.6626506024096386,1.0,0.5555555555555556,1.0,0.7142857142857143,35,20,0,28
0.9257423877716064,0.6506024096385542,1.0,0.5396825396825397,1.0,0.7010309278350515,34,20,0,29
0.925765872001648,0.6385542168674698,1.0,0.5238095238095238,1.0,0.6875,33,20,0,30
0.9281902313232422,0.6265060240963856,1.0,0.5079365079365079,1.0,0.6736842105263158,32,20,0,31
0.9317752122879028,0.6144578313253012,1.0,0.49206349206349204,1.0,0.6595744680851063,31,20,0,32
0.9318423867225648,0.6024096385542169,1.0,0.47619047619047616,1.0,0.6451612903225806,30,20,0,33
0.9354523420333862,0.5903614457831325,1.0,0.4603174603174603,1.0,0.6304347826086957,29,20,0,34
0.9355243444442748,0.5783132530120482,1.0,0.4444444444444444,1.0,0.6153846153846154,28,20,0,35
0.9392430782318116,0.5662650602409639,1.0,0.42857142857142855,1.0,0.6,27,20,0,36
0.9410894513130188,0.5542168674698795,1.0,0.4126984126984127,1.0,0.5842696629213483,26,20,0,37
0.941092014312744,0.5421686746987951,1.0,0.3968253968253968,1.0,0.5681818181818182,25,20,0,38
0.9417365193367004,0.5301204819277109,1.0,0.38095238095238093,1.0,0.5517241379310345,24,20,0,39
0.9452248811721802,0.5180722891566265,1.0,0.36507936507936506,1.0,0.5348837209302325,23,20,0,40
0.9472410678863524,0.5060240963855421,1.0,0.3492063492063492,1.0,0.5176470588235295,22,20,0,41
0.94831520318985,0.4939759036144578,1.0,0.3333333333333333,1.0,0.5,21,20,0,42
0.9530861377716064,0.4819277108433735,1.0,0.31746031746031744,1.0,0.4819277108433735,20,20,0,43
0.9556405544281006,0.46987951807228917,1.0,0.30158730158730157,1.0,0.4634146341463415,19,20,0,44
