threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
0.013432350941002369,0.275,0.6153846153846154,0.06722689075630252,0.8780487804878049,0.1212121212121212,8,36,5,111,normal_p90_0
0.013603368774056435,0.26875,0.625,0.04201680672268908,0.926829268292683,0.07874015748031497,5,38,3,114,normal_p95_0
0.013741368427872658,0.2625,0.6,0.025210084033613446,0.9512195121951219,0.04838709677419355,3,39,2,116,normal_p97_5
0.013753675855696201,0.26875,0.75,0.025210084033613446,0.975609756097561,0.04878048780487805,3,40,1,116,normal_p99_0
0.013757778331637383,0.26875,0.75,0.025210084033613446,0.975609756097561,0.04878048780487805,3,40,1,116,normal_p99_5
