threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
0.8985702395439148,0.7590361445783133,0.9574468085106383,0.7142857142857143,0.9,0.8181818181818182,45,18,2,18,normal_p90_0
0.9201130270957947,0.7108433734939759,0.975609756097561,0.6349206349206349,0.95,0.7692307692307692,40,19,1,23,normal_p95_0
0.9364207983016968,0.6265060240963856,0.9705882352941176,0.5238095238095238,0.95,0.6804123711340205,33,19,1,30,normal_p97_5
0.9462053775787354,0.6024096385542169,0.96875,0.49206349206349204,0.95,0.6526315789473683,31,19,1,32,normal_p99_0
0.9494670033454895,0.5783132530120482,0.9666666666666667,0.4603174603174603,0.95,0.6236559139784946,29,19,1,34,normal_p99_5
