category,feature_best_f1,ae_best_f1,hybrid_best_f1
bottle,0.9921259842519684,0.863013698630137,0.5176470588235295
transistor,0.8285714285714286,0.5714285714285714,0.0952380952380952
cable,0.9310344827586208,0.7603305785123967,0.2476190476190476
capsule,0.770949720670391,0.9045643153526972,0.0707964601769911
screw,0.3216783216783216,0.8530465949820788,0.0
metal_nut,0.9946524064171124,0.8942307692307693,0.0421052631578947
