category,best_pixel_detector,feature_pixel_auroc,ae_pixel_auroc,hybrid_pixel_auroc,best_pixel_detector_code
bottle,feature,0.982672479331444,0.7674990085796173,0.9713400002746824,0
cable,feature,0.9595416766982424,0.5494072428502681,0.916253211958762,0
capsule,feature,0.9751732578532516,0.8180655923541547,0.9650290125394526,0
metal_nut,feature,0.9474189144995768,0.7853650790342986,0.9175857856864176,0
screw,feature,0.9754001078533576,0.926197551162496,0.9745926621963849,0
transistor,feature,0.8551585386992052,0.6060814570110524,0.7725647992101397,0
