category,feature_image_auroc,ae_image_auroc,hybrid_image_auroc
bottle,1.0,0.6888888888888889,0.7825396825396825
cable,0.9881934032983508,0.5760869565217391,0.3416416791604197
capsule,0.9297965696051056,0.454726765057838,0.7024331870761866
metal_nut,1.0,0.3919843597262952,0.4525904203323558
screw,0.8891166222586595,0.3529411764705882,0.5503176880508301
transistor,0.97625,0.4866666666666666,0.49125
