category,feature_best_f1,ae_best_f1,hybrid_best_f1,feature_threshold,ae_threshold,hybrid_threshold,feature_threshold_source,ae_threshold_source,hybrid_threshold_source,best_detector,recommended_method,recommended_threshold
bottle,0.9921259842519684,0.863013698630137,0.5176470588235295,0.5959405899047852,0.0194452460855245,0.9462053775787354,recommended:normal_p99_0,recommended:normal_p99_0,recommended:normal_p99_0,feature,recommended:normal_p99_0,0.5959405899047852
transistor,0.8285714285714286,0.5714285714285714,0.0952380952380952,0.7950738668441772,0.0201176647096872,0.9438443779945374,recommended:normal_p99_0,recommended:normal_p99_0,recommended:normal_p99_0,feature,recommended:normal_p99_0,0.7950738668441772
cable,0.9310344827586208,0.7603305785123967,0.2476190476190476,0.7883915305137634,0.0350417681038379,0.9373964667320251,recommended:normal_p99_0,recommended:normal_p99_0,recommended:normal_p99_0,feature,recommended:normal_p99_0,0.7883915305137634
capsule,0.770949720670391,0.9045643153526972,0.0707964601769911,0.6347275972366333,0.0180689096450805,0.9230469465255736,recommended:normal_p99_0,recommended:normal_p99_0,recommended:normal_p99_0,ae,recommended:normal_p99_0,0.0180689096450805
screw,0.3216783216783216,0.8530465949820788,0.0,0.7200697660446167,0.0137536758556962,0.9246660470962524,recommended:normal_p99_0,recommended:normal_p99_0,recommended:normal_p99_0,ae,recommended:normal_p99_0,0.0137536758556962
metal_nut,0.9946524064171124,0.8942307692307693,0.0421052631578947,0.7409592866897583,0.0247163586318492,0.9413636922836304,recommended:normal_p99_0,recommended:normal_p99_0,recommended:normal_p99_0,feature,recommended:normal_p99_0,0.7409592866897583
