category,recommended_method,recommended_threshold,best_f1_threshold,best_f1,best_youden_threshold,normal_p95_0,normal_p97_5,normal_p99_0,normal_p99_5
bottle,normal_p99_0,0.5959405899047852,0.5960012078285217,0.9921259842519685,0.6719725131988525,0.5956980586051941,0.5958496332168579,0.5959405899047852,0.595970869064331
transistor,normal_p99_0,0.7950738668441772,0.7625449299812317,0.9135802469135802,0.7627695798873901,0.7628129124641418,0.7810246348381042,0.7950738668441772,0.7966413497924805
cable,normal_p99_0,0.7883915305137634,0.7588914036750793,0.9513513513513514,0.7598668336868286,0.7692056894302368,0.7776674032211304,0.7883915305137634,0.7949760556221008
capsule,normal_p99_0,0.6347275972366333,0.5270466208457947,0.9506726457399103,0.552192747592926,0.631140410900116,0.6334953904151917,0.6347275972366333,0.6351382732391357
screw,normal_p99_0,0.7200697660446167,0.6075683832168579,0.9083333333333333,0.610484778881073,0.6468230485916138,0.6817309260368347,0.7200697660446167,0.7328494191169739
metal_nut,normal_p99_0,0.7409592866897583,0.7450408935546875,0.9946524064171123,0.7499187588691711,0.7255026698112488,0.7348368167877197,0.7409592866897583,0.7430000901222229
