threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.5434609055519104,0.74375,0.74375,1.0,0.0,0.8530465949820788,119,0,41,0
0.5549055933952332,0.75,0.7484276729559748,1.0,0.024390243902439025,0.8561151079136691,119,1,40,0
0.5676394104957581,0.75625,0.7531645569620253,1.0,0.04878048780487805,0.8592057761732852,119,2,39,0
0.5735551714897156,0.7625,0.7579617834394905,1.0,0.07317073170731707,0.8623188405797102,119,3,38,0
0.5743753910064697,0.76875,0.7628205128205128,1.0,0.0975609756097561,0.8654545454545455,119,4,37,0
0.5763880610466003,0.775,0.7677419354838709,1.0,0.12195121951219512,0.8686131386861314,119,5,36,0
0.5780667662620544,0.78125,0.7727272727272727,1.0,0.14634146341463414,0.8717948717948718,119,6,35,0
0.5785783529281616,0.7875,0.7777777777777778,1.0,0.17073170731707318,0.875,119,7,34,0
0.5814999341964722,0.79375,0.7828947368421053,1.0,0.1951219512195122,0.8782287822878229,119,8,33,0
0.5823730230331421,0.8,0.7880794701986755,1.0,0.21951219512195122,0.8814814814814815,119,9,32,0
0.5828971862792969,0.80625,0.7933333333333333,1.0,0.24390243902439024,0.8847583643122676,119,10,31,0
0.5834606289863586,0.8125,0.7986577181208053,1.0,0.2682926829268293,0.8880597014925373,119,11,30,0
0.5845730304718018,0.80625,0.7972972972972973,0.9915966386554622,0.2682926829268293,0.8838951310861424,118,11,30,1
0.5882208943367004,0.8125,0.8027210884353742,0.9915966386554622,0.2926829268292683,0.8872180451127819,118,12,29,1
0.5882958173751831,0.81875,0.8082191780821918,0.9915966386554622,0.3170731707317073,0.8905660377358491,118,13,28,1
0.5897857546806335,0.8125,0.8068965517241379,0.9831932773109243,0.3170731707317073,0.8863636363636364,117,13,28,2
0.5897915363311768,0.80625,0.8055555555555556,0.9747899159663865,0.3170731707317073,0.8821292775665399,116,13,28,3
0.5898346900939941,0.8,0.8041958041958042,0.9663865546218487,0.3170731707317073,0.8778625954198473,115,13,28,4
0.5898518562316895,0.80625,0.8098591549295775,0.9663865546218487,0.34146341463414637,0.8812260536398467,115,14,27,4
0.593302309513092,0.8125,0.8156028368794326,0.9663865546218487,0.36585365853658536,0.8846153846153846,115,15,26,4
