category,feature_image_auroc,feature_pixel_auroc,feature_threshold,ae_image_auroc,ae_pixel_auroc,ae_threshold,hybrid_image_auroc,hybrid_pixel_auroc,hybrid_threshold,best_image_detector,best_image_auroc,best_pixel_detector,best_pixel_auroc
bottle,1.0,0.982672479331444,0.5959405899047852,0.6888888888888889,0.7674990085796173,0.01944524608552456,0.7825396825396825,0.9713400002746823,0.9462053775787354,feature,1.0,feature,0.982672479331444
cable,0.9881934032983508,0.9595416766982425,0.7883915305137634,0.5760869565217391,0.5494072428502681,0.03504176810383797,0.3416416791604197,0.9162532119587619,0.9373964667320251,feature,0.9881934032983508,feature,0.9595416766982425
capsule,0.9297965696051057,0.9751732578532517,0.6347275972366333,0.45472676505783804,0.8180655923541547,0.018068909645080566,0.7024331870761866,0.9650290125394526,0.9230469465255737,feature,0.9297965696051057,feature,0.9751732578532517
metal_nut,1.0,0.9474189144995767,0.7409592866897583,0.39198435972629525,0.7853650790342986,0.02471635863184929,0.45259042033235586,0.9175857856864176,0.9413636922836304,feature,1.0,feature,0.9474189144995767
screw,0.8891166222586595,0.9754001078533575,0.7200697660446167,0.3529411764705882,0.9261975511624961,0.013753675855696201,0.5503176880508301,0.9745926621963847,0.9246660470962524,feature,0.8891166222586595,feature,0.9754001078533575
transistor,0.9762500000000001,0.8551585386992052,0.7950738668441772,0.48666666666666664,0.6060814570110524,0.020117664709687233,0.49125,0.7725647992101397,0.9438443779945374,feature,0.9762500000000001,feature,0.8551585386992052
