detector_name,category,total_test_samples,normal_samples,anomalous_samples,recommended_method,recommended_threshold,recommended_reason,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,best_f1_accuracy,best_f1_specificity,best_youden_threshold,best_youden_j,best_youden_f1,best_youden_precision,best_youden_recall,best_youden_accuracy,best_youden_specificity,normal_min,normal_max,normal_mean,anomaly_min,anomaly_max,anomaly_mean,normal_p90_0,normal_p95_0,normal_p97_5,normal_p99_0,normal_p99_5
feature,bottle,83,20,63,normal_p99_0,0.5959405899047852,normal-score percentile threshold using only normal test samples,0.5960012078285217,0.9921259842519685,0.984375,1.0,0.9879518072289156,0.95,0.6719725131988525,1.0,1.0,1.0,1.0,1.0,1.0,0.4369339644908905,0.5960012078285217,0.5151066184043884,0.6719725131988525,1.0384994745254517,0.9041439294815063,0.5851695537567139,0.5956980586051941,0.5958496332168579,0.5959405899047852,0.595970869064331
feature,cable,150,58,92,normal_p99_0,0.7883915305137634,normal-score percentile threshold using only normal test samples,0.7588914036750793,0.9513513513513514,0.946236559139785,0.9565217391304348,0.94,0.9137931034482759,0.7598668336868286,0.8875562218890555,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9466666666666667,0.9310344827586207,0.6514254808425903,0.8015605807304382,0.7227817177772522,0.7464869618415833,1.0261050462722778,0.8727439641952515,0.7584569454193115,0.7692056894302368,0.7776674032211304,0.7883915305137634,0.7949760556221008
feature,capsule,132,23,109,normal_p99_0,0.6347275972366333,normal-score percentile threshold using only normal test samples,0.5270466208457947,0.9506726457399103,0.9298245614035088,0.9724770642201835,0.9166666666666666,0.6521739130434783,0.552192747592926,0.7367371360191465,0.9541284403669725,0.9541284403669725,0.9541284403669725,0.9242424242424242,0.782608695652174,0.38720381259918213,0.635549008846283,0.5098943710327148,0.47242215275764465,0.9749447107315063,0.7017530798912048,0.61445552110672,0.631140410900116,0.6334953904151917,0.6347275972366333,0.6351382732391357
feature,metal_nut,115,22,93,normal_p99_0,0.7409592866897583,normal-score percentile threshold using only normal test samples,0.7450408935546875,0.9946524064171123,0.9893617021276596,1.0,0.991304347826087,0.9545454545454546,0.7499187588691711,1.0,1.0,1.0,1.0,1.0,1.0,0.6293100714683533,0.7450408935546875,0.6746717691421509,0.7499187588691711,0.9580313563346863,0.8714228272438049,0.7231535911560059,0.7255026698112488,0.7348368167877197,0.7409592866897583,0.7430000901222229
feature,screw,160,41,119,normal_p99_0,0.7200697660446167,normal-score percentile threshold using only normal test samples,0.6075683832168579,0.9083333333333333,0.9008264462809917,0.9159663865546218,0.8625,0.7073170731707317,0.610484778881073,0.6636605861856938,0.9113924050632911,0.9152542372881356,0.907563025210084,0.86875,0.7560975609756098,0.5434609055519104,0.7456291317939758,0.6037865877151489,0.5834606289863586,0.8661813735961914,0.6790799498558044,0.6377130150794983,0.6468230485916138,0.6817309260368347,0.7200697660446167,0.7328494191169739
feature,transistor,100,60,40,normal_p99_0,0.7950738668441772,normal-score percentile threshold using only normal test samples,0.7625449299812317,0.9135802469135802,0.9024390243902439,0.925,0.93,0.9333333333333333,0.7627695798873901,0.875,0.925,0.925,0.925,0.94,0.95,0.5861829519271851,0.7982088327407837,0.6792088150978088,0.6912201046943665,0.9866515398025513,0.8320501446723938,0.7409485578536987,0.7628129124641418,0.7810246348381042,0.7950738668441772,0.7966413497924805
