category,memory_bank_path,image_auroc,image_average_precision,pixel_auroc,pixel_average_precision,recommended_threshold_method,recommended_threshold,best_f1_threshold,best_f1,memory_bank_patches_after_subsample,embedding_dim
bottle,/home/wsl-admin/industrial_anomaly_detection/outputs/checkpoints/bottle_memory_bank.pt,1.0,0.9999999999999998,0.982672479331444,0.7305310735813598,normal_p99_0,0.5959405899047852,0.5960012078285217,0.9921259842519685,50000,384
metal_nut,/home/wsl-admin/industrial_anomaly_detection/outputs/checkpoints/metal_nut_memory_bank.pt,1.0,1.0,0.9474189144995767,0.7411835054974281,normal_p99_0,0.7409592866897583,0.7450408935546875,0.9946524064171123,50000,384
cable,/home/wsl-admin/industrial_anomaly_detection/outputs/checkpoints/cable_memory_bank.pt,0.9881934032983508,0.9928925963549421,0.9595416766982425,0.5777650272907026,normal_p99_0,0.7883915305137634,0.7588914036750793,0.9513513513513514,50000,384
transistor,/home/wsl-admin/industrial_anomaly_detection/outputs/checkpoints/transistor_memory_bank.pt,0.9762500000000001,0.9697694708590278,0.8551585386992052,0.49099491555727165,normal_p99_0,0.7950738668441772,0.7625449299812317,0.9135802469135802,50000,384
capsule,/home/wsl-admin/industrial_anomaly_detection/outputs/checkpoints/capsule_memory_bank.pt,0.9297965696051057,0.9836312852328285,0.9751732578532517,0.3843095984319113,normal_p99_0,0.6347275972366333,0.5270466208457947,0.9506726457399103,50000,384
screw,/home/wsl-admin/industrial_anomaly_detection/outputs/checkpoints/screw_memory_bank.pt,0.8891166222586595,0.952543890747877,0.9754001078533575,0.24314843177070042,normal_p99_0,0.7200697660446167,0.6075683832168579,0.9083333333333333,50000,384
