threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
0.018995368853211403,0.5180722891566265,0.9259259259259259,0.3968253968253968,0.9,0.5555555555555555,25,18,2,38,normal_p90_0
0.019296489655971527,0.5060240963855421,0.9583333333333334,0.36507936507936506,0.95,0.5287356321839081,23,19,1,40,normal_p95_0
0.01938946358859539,0.5060240963855421,0.9583333333333334,0.36507936507936506,0.95,0.5287356321839081,23,19,1,40,normal_p97_5
0.01944524608552456,0.46987951807228917,0.9523809523809523,0.31746031746031744,0.95,0.47619047619047616,20,19,1,43,normal_p99_0
0.01946384087204933,0.46987951807228917,0.9523809523809523,0.31746031746031744,0.95,0.47619047619047616,20,19,1,43,normal_p99_5
