threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
0.928000807762146,0.62,0.5714285714285714,0.2,0.9,0.29629629629629634,8,54,6,32,normal_p90_0
0.9326600432395935,0.65,0.7272727272727273,0.2,0.95,0.3137254901960785,8,57,3,32,normal_p95_0
0.9370085000991821,0.64,0.75,0.15,0.9666666666666667,0.24999999999999997,6,58,2,34,normal_p97_5
0.9438443779945374,0.63,0.8,0.1,0.9833333333333333,0.1777777777777778,4,59,1,36,normal_p99_0
0.9484640955924988,0.61,0.6666666666666666,0.05,0.9833333333333333,0.09302325581395349,2,59,1,38,normal_p99_5
