threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.6514254808425903,0.6133333333333333,0.6133333333333333,1.0,0.0,0.7603305785123967,92,0,58,0
0.6747254729270935,0.62,0.6174496644295302,1.0,0.017241379310344827,0.7634854771784232,92,1,57,0
0.6782526969909668,0.6266666666666667,0.6216216216216216,1.0,0.034482758620689655,0.7666666666666667,92,2,56,0
0.6798485517501831,0.6333333333333333,0.6258503401360545,1.0,0.05172413793103448,0.7698744769874477,92,3,55,0
0.6890066862106323,0.64,0.6301369863013698,1.0,0.06896551724137931,0.773109243697479,92,4,54,0
0.6891669034957886,0.6466666666666666,0.6344827586206897,1.0,0.08620689655172414,0.7763713080168776,92,5,53,0
0.6907314658164978,0.6533333333333333,0.6388888888888888,1.0,0.10344827586206896,0.7796610169491526,92,6,52,0
0.695094645023346,0.66,0.6433566433566433,1.0,0.1206896551724138,0.7829787234042553,92,7,51,0
0.6968021392822266,0.6666666666666666,0.647887323943662,1.0,0.13793103448275862,0.7863247863247863,92,8,50,0
0.697281539440155,0.6733333333333333,0.6524822695035462,1.0,0.15517241379310345,0.7896995708154506,92,9,49,0
0.6983627676963806,0.68,0.6571428571428571,1.0,0.1724137931034483,0.7931034482758621,92,10,48,0
0.6986792683601379,0.6866666666666666,0.6618705035971223,1.0,0.1896551724137931,0.7965367965367965,92,11,47,0
0.7009487152099609,0.6933333333333334,0.6666666666666666,1.0,0.20689655172413793,0.8,92,12,46,0
0.7010071873664856,0.7,0.6715328467153284,1.0,0.22413793103448276,0.8034934497816594,92,13,45,0
0.7058947682380676,0.7066666666666667,0.6764705882352942,1.0,0.2413793103448276,0.8070175438596491,92,14,44,0
0.7059141993522644,0.7133333333333334,0.6814814814814815,1.0,0.25862068965517243,0.8105726872246696,92,15,43,0
0.7071924805641174,0.72,0.6865671641791045,1.0,0.27586206896551724,0.8141592920353983,92,16,42,0
0.7113439440727234,0.7266666666666667,0.6917293233082706,1.0,0.29310344827586204,0.8177777777777778,92,17,41,0
0.711510181427002,0.7333333333333333,0.696969696969697,1.0,0.3103448275862069,0.8214285714285714,92,18,40,0
0.7119995951652527,0.74,0.7022900763358778,1.0,0.3275862068965517,0.8251121076233184,92,19,39,0
0.712469756603241,0.7466666666666667,0.7076923076923077,1.0,0.3448275862068966,0.8288288288288288,92,20,38,0
0.712803065776825,0.7533333333333333,0.7131782945736435,1.0,0.3620689655172414,0.832579185520362,92,21,37,0
0.7132282257080078,0.76,0.71875,1.0,0.3793103448275862,0.8363636363636363,92,22,36,0
0.7148314714431763,0.7666666666666667,0.7244094488188977,1.0,0.39655172413793105,0.8401826484018264,92,23,35,0
0.7153432965278625,0.7733333333333333,0.7301587301587301,1.0,0.41379310344827586,0.8440366972477065,92,24,34,0
0.715911328792572,0.78,0.736,1.0,0.43103448275862066,0.847926267281106,92,25,33,0
0.7163599133491516,0.7866666666666666,0.7419354838709677,1.0,0.4482758620689655,0.8518518518518519,92,26,32,0
0.7181308269500732,0.7933333333333333,0.7479674796747967,1.0,0.46551724137931033,0.8558139534883721,92,27,31,0
0.7220444679260254,0.8,0.7540983606557377,1.0,0.4827586206896552,0.8598130841121495,92,28,30,0
0.7230100631713867,0.8066666666666666,0.7603305785123967,1.0,0.5,0.863849765258216,92,29,29,0
0.7230969071388245,0.8133333333333334,0.7666666666666667,1.0,0.5172413793103449,0.8679245283018868,92,30,28,0
0.7236871123313904,0.82,0.773109243697479,1.0,0.5344827586206896,0.8720379146919431,92,31,27,0
0.7239777445793152,0.8266666666666667,0.7796610169491526,1.0,0.5517241379310345,0.8761904761904762,92,32,26,0
0.7243951559066772,0.8333333333333334,0.7863247863247863,1.0,0.5689655172413793,0.8803827751196173,92,33,25,0
0.725836455821991,0.84,0.7931034482758621,1.0,0.5862068965517241,0.8846153846153846,92,34,24,0
0.726582944393158,0.8466666666666667,0.8,1.0,0.603448275862069,0.8888888888888888,92,35,23,0
0.7280935049057007,0.8533333333333334,0.8070175438596491,1.0,0.6206896551724138,0.8932038834951457,92,36,22,0
0.728366494178772,0.86,0.8141592920353983,1.0,0.6379310344827587,0.8975609756097561,92,37,21,0
0.7307988405227661,0.8666666666666667,0.8214285714285714,1.0,0.6551724137931034,0.9019607843137255,92,38,20,0
0.7309491038322449,0.8733333333333333,0.8288288288288288,1.0,0.6724137931034483,0.9064039408866995,92,39,19,0
0.7316185235977173,0.88,0.8363636363636363,1.0,0.6896551724137931,0.9108910891089109,92,40,18,0
0.7328763008117676,0.8866666666666667,0.8440366972477065,1.0,0.7068965517241379,0.9154228855721394,92,41,17,0
0.7342111468315125,0.8933333333333333,0.8518518518518519,1.0,0.7241379310344828,0.92,92,42,16,0
0.7349821925163269,0.9,0.8598130841121495,1.0,0.7413793103448276,0.9246231155778895,92,43,15,0
0.7454432249069214,0.9066666666666666,0.8679245283018868,1.0,0.7586206896551724,0.9292929292929293,92,44,14,0
0.7464869618415833,0.9133333333333333,0.8761904761904762,1.0,0.7758620689655172,0.934010152284264,92,45,13,0
0.7476698756217957,0.9066666666666666,0.875,0.9891304347826086,0.7758620689655172,0.9285714285714286,91,45,13,1
0.7502073645591736,0.9133333333333333,0.883495145631068,0.9891304347826086,0.7931034482758621,0.9333333333333333,91,46,12,1
0.7512372732162476,0.92,0.8921568627450981,0.9891304347826086,0.8103448275862069,0.9381443298969072,91,47,11,1
0.7521457076072693,0.9133333333333333,0.8910891089108911,0.9782608695652174,0.8103448275862069,0.9326424870466321,90,47,11,2
0.7530614733695984,0.92,0.9,0.9782608695652174,0.8275862068965517,0.9375,90,48,10,2
