threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.6293100714683533,0.808695652173913,0.808695652173913,1.0,0.0,0.8942307692307693,93,0,22,0
0.629814088344574,0.8173913043478261,0.8157894736842105,1.0,0.045454545454545456,0.8985507246376812,93,1,21,0
0.6397424340248108,0.8260869565217391,0.8230088495575221,1.0,0.09090909090909091,0.9029126213592233,93,2,20,0
0.6419549584388733,0.8347826086956521,0.8303571428571429,1.0,0.13636363636363635,0.9073170731707317,93,3,19,0
0.6436740756034851,0.8434782608695652,0.8378378378378378,1.0,0.18181818181818182,0.9117647058823529,93,4,18,0
0.6483710408210754,0.8521739130434782,0.8454545454545455,1.0,0.22727272727272727,0.916256157635468,93,5,17,0
0.6550517082214355,0.8608695652173913,0.8532110091743119,1.0,0.2727272727272727,0.9207920792079208,93,6,16,0
0.6566016674041748,0.8695652173913043,0.8611111111111112,1.0,0.3181818181818182,0.9253731343283582,93,7,15,0
0.6570588946342468,0.8782608695652174,0.8691588785046729,1.0,0.36363636363636365,0.93,93,8,14,0
0.6612314581871033,0.8869565217391304,0.8773584905660378,1.0,0.4090909090909091,0.9346733668341709,93,9,13,0
0.662560760974884,0.8956521739130435,0.8857142857142857,1.0,0.45454545454545453,0.9393939393939394,93,10,12,0
0.66289222240448,0.9043478260869565,0.8942307692307693,1.0,0.5,0.9441624365482234,93,11,11,0
0.6767386198043823,0.9130434782608695,0.9029126213592233,1.0,0.5454545454545454,0.9489795918367347,93,12,10,0
0.6812338829040527,0.9217391304347826,0.9117647058823529,1.0,0.5909090909090909,0.9538461538461539,93,13,9,0
0.6855303645133972,0.9304347826086956,0.9207920792079208,1.0,0.6363636363636364,0.9587628865979382,93,14,8,0
0.6913440227508545,0.9391304347826087,0.93,1.0,0.6818181818181818,0.9637305699481865,93,15,7,0
0.6930567622184753,0.9478260869565217,0.9393939393939394,1.0,0.7272727272727273,0.96875,93,16,6,0
0.7129673957824707,0.9565217391304348,0.9489795918367347,1.0,0.7727272727272727,0.9738219895287958,93,17,5,0
0.7194311022758484,0.9652173913043478,0.9587628865979382,1.0,0.8181818181818182,0.9789473684210527,93,18,4,0
0.7235671877861023,0.9739130434782609,0.96875,1.0,0.8636363636363636,0.9841269841269841,93,19,3,0
0.7256045341491699,0.9826086956521739,0.9789473684210527,1.0,0.9090909090909091,0.9893617021276596,93,20,2,0
0.7450408935546875,0.991304347826087,0.9893617021276596,1.0,0.9545454545454546,0.9946524064171123,93,21,1,0
0.7499187588691711,1.0,1.0,1.0,1.0,1.0,93,22,0,0
0.7606383562088013,0.991304347826087,1.0,0.989247311827957,1.0,0.9945945945945946,92,22,0,1
0.7641721367835999,0.9826086956521739,1.0,0.978494623655914,1.0,0.9891304347826086,91,22,0,2
0.7732086777687073,0.9739130434782609,1.0,0.967741935483871,1.0,0.9836065573770492,90,22,0,3
0.7735241651535034,0.9652173913043478,1.0,0.956989247311828,1.0,0.978021978021978,89,22,0,4
0.7810348868370056,0.9565217391304348,1.0,0.946236559139785,1.0,0.9723756906077348,88,22,0,5
0.7887468934059143,0.9478260869565217,1.0,0.9354838709677419,1.0,0.9666666666666667,87,22,0,6
0.7969745993614197,0.9391304347826087,1.0,0.9247311827956989,1.0,0.9608938547486033,86,22,0,7
0.805830717086792,0.9304347826086956,1.0,0.9139784946236559,1.0,0.9550561797752809,85,22,0,8
0.8127298951148987,0.9217391304347826,1.0,0.9032258064516129,1.0,0.9491525423728814,84,22,0,9
0.8149561882019043,0.9130434782608695,1.0,0.8924731182795699,1.0,0.9431818181818182,83,22,0,10
