threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.5861829519271851,0.4,0.4,1.0,0.0,0.5714285714285714,40,0,60,0
0.5930501818656921,0.41,0.40404040404040403,1.0,0.016666666666666666,0.5755395683453237,40,1,59,0
0.6027086973190308,0.42,0.40816326530612246,1.0,0.03333333333333333,0.5797101449275363,40,2,58,0
0.6130743026733398,0.43,0.41237113402061853,1.0,0.05,0.583941605839416,40,3,57,0
0.6133333444595337,0.44,0.4166666666666667,1.0,0.06666666666666667,0.5882352941176471,40,4,56,0
0.6209045648574829,0.45,0.42105263157894735,1.0,0.08333333333333333,0.5925925925925926,40,5,55,0
0.6259709596633911,0.46,0.425531914893617,1.0,0.1,0.5970149253731343,40,6,54,0
0.6301460862159729,0.47,0.43010752688172044,1.0,0.11666666666666667,0.6015037593984962,40,7,53,0
0.635113537311554,0.48,0.43478260869565216,1.0,0.13333333333333333,0.6060606060606061,40,8,52,0
0.6351876854896545,0.49,0.43956043956043955,1.0,0.15,0.6106870229007634,40,9,51,0
0.6360868215560913,0.5,0.4444444444444444,1.0,0.16666666666666666,0.6153846153846154,40,10,50,0
0.6422002911567688,0.51,0.449438202247191,1.0,0.18333333333333332,0.6201550387596899,40,11,49,0
0.6441057324409485,0.52,0.45454545454545453,1.0,0.2,0.625,40,12,48,0
0.644811749458313,0.53,0.45977011494252873,1.0,0.21666666666666667,0.6299212598425197,40,13,47,0
0.648404061794281,0.54,0.46511627906976744,1.0,0.23333333333333334,0.6349206349206349,40,14,46,0
0.649192750453949,0.55,0.47058823529411764,1.0,0.25,0.64,40,15,45,0
0.649597704410553,0.56,0.47619047619047616,1.0,0.26666666666666666,0.6451612903225806,40,16,44,0
0.6513288617134094,0.57,0.4819277108433735,1.0,0.2833333333333333,0.6504065040650406,40,17,43,0
0.6543972492218018,0.58,0.4878048780487805,1.0,0.3,0.6557377049180327,40,18,42,0
0.654589056968689,0.59,0.49382716049382713,1.0,0.31666666666666665,0.6611570247933884,40,19,41,0
0.6548482775688171,0.6,0.5,1.0,0.3333333333333333,0.6666666666666666,40,20,40,0
0.6590821146965027,0.61,0.5063291139240507,1.0,0.35,0.6722689075630253,40,21,39,0
0.6604118347167969,0.62,0.5128205128205128,1.0,0.36666666666666664,0.6779661016949152,40,22,38,0
0.6618226766586304,0.63,0.5194805194805194,1.0,0.38333333333333336,0.6837606837606838,40,23,37,0
0.6632175445556641,0.64,0.5263157894736842,1.0,0.4,0.6896551724137931,40,24,36,0
0.6642413139343262,0.65,0.5333333333333333,1.0,0.4166666666666667,0.6956521739130435,40,25,35,0
0.6648409962654114,0.66,0.5405405405405406,1.0,0.43333333333333335,0.7017543859649122,40,26,34,0
0.6648897528648376,0.67,0.547945205479452,1.0,0.45,0.7079646017699115,40,27,33,0
0.666427731513977,0.68,0.5555555555555556,1.0,0.4666666666666667,0.7142857142857143,40,28,32,0
0.6691601872444153,0.69,0.5633802816901409,1.0,0.48333333333333334,0.7207207207207207,40,29,31,0
0.6746732592582703,0.7,0.5714285714285714,1.0,0.5,0.7272727272727273,40,30,30,0
0.6771356463432312,0.71,0.5797101449275363,1.0,0.5166666666666667,0.7339449541284404,40,31,29,0
0.6787068247795105,0.72,0.5882352941176471,1.0,0.5333333333333333,0.7407407407407407,40,32,28,0
0.6811363101005554,0.73,0.5970149253731343,1.0,0.55,0.7476635514018691,40,33,27,0
0.6842424869537354,0.74,0.6060606060606061,1.0,0.5666666666666667,0.7547169811320755,40,34,26,0
0.6849251389503479,0.75,0.6153846153846154,1.0,0.5833333333333334,0.7619047619047619,40,35,25,0
0.690934956073761,0.76,0.625,1.0,0.6,0.7692307692307693,40,36,24,0
0.6912201046943665,0.77,0.6349206349206349,1.0,0.6166666666666667,0.7766990291262136,40,37,23,0
0.6914826035499573,0.76,0.6290322580645161,0.975,0.6166666666666667,0.7647058823529411,39,37,23,1
0.6931558847427368,0.77,0.639344262295082,0.975,0.6333333333333333,0.7722772277227723,39,38,22,1
0.6937322020530701,0.78,0.65,0.975,0.65,0.78,39,39,21,1
0.6938715577125549,0.79,0.6610169491525424,0.975,0.6666666666666666,0.7878787878787878,39,40,20,1
