threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn
0.3872038125991821,0.8257575757575758,0.8257575757575758,1.0,0.0,0.9045643153526971,109,0,23,0
0.3912839293479919,0.8333333333333334,0.8320610687022901,1.0,0.043478260869565216,0.9083333333333333,109,1,22,0
0.4313342273235321,0.8409090909090909,0.8384615384615385,1.0,0.08695652173913043,0.9121338912133892,109,2,21,0
0.4501155912876129,0.8484848484848485,0.8449612403100775,1.0,0.13043478260869565,0.9159663865546218,109,3,20,0
0.4566246271133423,0.8560606060606061,0.8515625,1.0,0.17391304347826086,0.919831223628692,109,4,19,0
0.4622142314910888,0.8636363636363636,0.8582677165354331,1.0,0.21739130434782608,0.923728813559322,109,5,18,0
0.4648427367210388,0.8712121212121212,0.8650793650793651,1.0,0.2608695652173913,0.9276595744680851,109,6,17,0
0.4724221527576446,0.8787878787878788,0.872,1.0,0.30434782608695654,0.9316239316239316,109,7,16,0
0.4879466593265533,0.8712121212121212,0.8709677419354839,0.9908256880733946,0.30434782608695654,0.927038626609442,108,7,16,1
0.4935437142848968,0.8787878787878788,0.8780487804878049,0.9908256880733946,0.34782608695652173,0.9310344827586207,108,8,15,1
0.4982768297195434,0.8863636363636364,0.8852459016393442,0.9908256880733946,0.391304347826087,0.935064935064935,108,9,14,1
0.5025413036346436,0.8787878787878788,0.8842975206611571,0.981651376146789,0.391304347826087,0.9304347826086956,107,9,14,2
0.5079569220542908,0.8863636363636364,0.8916666666666667,0.981651376146789,0.43478260869565216,0.9344978165938864,107,10,13,2
0.5092789530754089,0.8787878787878788,0.8907563025210085,0.9724770642201835,0.43478260869565216,0.9298245614035088,106,10,13,3
0.5128033757209778,0.8863636363636364,0.8983050847457628,0.9724770642201835,0.4782608695652174,0.933920704845815,106,11,12,3
0.5149248242378235,0.8939393939393939,0.905982905982906,0.9724770642201835,0.5217391304347826,0.9380530973451328,106,12,11,3
0.5176638960838318,0.9015151515151515,0.9137931034482759,0.9724770642201835,0.5652173913043478,0.9422222222222222,106,13,10,3
0.5180620551109314,0.9090909090909091,0.9217391304347826,0.9724770642201835,0.6086956521739131,0.9464285714285714,106,14,9,3
